#Mean	404.790
#Median	387
#Mode	356
#STDev	139.911
#PercentOfPairs	99.996
#InsertSize	Count
10	1
25	1
33	1
39	1
42	1
50	1
55	1
59	2
61	1
62	1
64	2
65	1
68	1
69	1
75	1
76	1
77	1
78	1
80	1
82	1
83	1
86	2
87	4
88	4
89	1
90	1
91	2
92	1
93	2
94	2
95	3
96	1
98	1
99	1
100	1
101	3
102	1
103	1
104	3
105	1
106	2
107	2
108	2
109	1
110	3
111	2
112	1
113	2
114	2
115	1
116	1
117	2
118	1
119	4
120	4
121	6
122	3
123	3
124	5
125	2
126	6
127	3
128	3
129	2
130	5
131	5
132	6
133	3
134	3
135	5
136	5
137	3
138	9
139	4
140	5
141	4
142	9
143	4
144	4
145	7
146	10
147	15
148	9
149	17
150	342
151	349
152	349
153	352
154	372
155	400
156	379
157	412
158	438
159	390
160	486
161	459
162	445
163	481
164	485
165	507
166	508
167	559
168	561
169	556
170	586
171	591
172	611
173	633
174	605
175	598
176	650
177	689
178	675
179	650
180	675
181	708
182	699
183	754
184	764
185	773
186	817
187	784
188	838
189	831
190	823
191	836
192	905
193	848
194	878
195	838
196	868
197	954
198	904
199	903
200	983
201	990
202	990
203	1043
204	1113
205	1084
206	1052
207	1125
208	1100
209	1109
210	1111
211	1215
212	1180
213	1213
214	1229
215	1203
216	1279
217	1315
218	1254
219	1282
220	1343
221	1305
222	1375
223	1349
224	1474
225	1434
226	1426
227	1437
228	1494
229	1429
230	1438
231	1570
232	1523
233	1483
234	1549
235	1514
236	1577
237	1585
238	1622
239	1674
240	1675
241	1582
242	1648
243	1760
244	1699
245	1658
246	1896
247	1903
248	1803
249	1899
250	1734
251	1948
252	1914
253	1940
254	1885
255	1954
256	1847
257	1996
258	1961
259	1937
260	1979
261	1989
262	2059
263	2056
264	2011
265	2042
266	2200
267	2175
268	2132
269	2208
270	2254
271	2275
272	2231
273	2283
274	2212
275	2251
276	2345
277	2298
278	2249
279	2228
280	2326
281	2413
282	2340
283	2359
284	2387
285	2426
286	2384
287	2422
288	2452
289	2502
290	2450
291	2359
292	2429
293	2433
294	2612
295	2562
296	2453
297	2536
298	2688
299	2653
300	2694
301	2738
302	2708
303	2665
304	2672
305	2609
306	2664
307	2747
308	2776
309	2810
310	2692
311	2789
312	2775
313	2721
314	2659
315	2694
316	2754
317	2706
318	2759
319	2829
320	2854
321	2828
322	2831
323	2782
324	2881
325	2827
326	2882
327	2909
328	2991
329	2907
330	2865
331	2945
332	2867
333	2930
334	2977
335	2960
336	2881
337	2888
338	2952
339	2837
340	3027
341	2856
342	2979
343	2896
344	2949
345	3008
346	2888
347	2967
348	3026
349	3043
350	2950
351	2955
352	2948
353	2987
354	2909
355	2956
356	3050
357	2877
358	2919
359	3020
360	2944
361	2882
362	2967
363	2851
364	2986
365	2868
366	2985
367	2918
368	2976
369	2845
370	2902
371	2907
372	2932
373	2823
374	2759
375	2805
376	2879
377	2864
378	2875
379	2858
380	2902
381	2848
382	2881
383	2746
384	2906
385	2827
386	2877
387	2880
388	2787
389	2674
390	2925
391	2839
392	2792
393	2841
394	2735
395	2792
396	2835
397	2811
398	2860
399	2691
400	2783
401	2756
402	2747
403	2682
404	2689
405	2801
406	2667
407	2680
408	2692
409	2641
410	2656
411	2590
412	2554
413	2596
414	2590
415	2565
416	2565
417	2602
418	2588
419	2709
420	2500
421	2481
422	2468
423	2587
424	2532
425	2490
426	2519
427	2511
428	2495
429	2349
430	2391
431	2473
432	2405
433	2474
434	2404
435	2431
436	2380
437	2481
438	2450
439	2278
440	2427
441	2318
442	2319
443	2357
444	2296
445	2340
446	2283
447	2274
448	2308
449	2241
450	2268
451	2147
452	2154
453	2172
454	2263
455	2182
456	2176
457	2205
458	2168
459	2230
460	2115
461	2186
462	2130
463	2146
464	1977
465	2107
466	2042
467	2016
468	2058
469	2049
470	2077
471	2037
472	1948
473	2023
474	1979
475	1984
476	2013
477	1967
478	1910
479	1901
480	1932
481	1938
482	1879
483	1917
484	1805
485	1889
486	1821
487	1727
488	1908
489	1779
490	1780
491	1763
492	1753
493	1797
494	1764
495	1743
496	1762
497	1713
498	1724
499	1776
500	1649
501	1639
502	1657
503	1674
504	1659
505	1646
506	1683
507	1627
508	1683
509	1658
510	1514
511	1590
512	1545
513	1587
514	1562
515	1533
516	1477
517	1526
518	1508
519	1525
520	1479
521	1447
522	1470
523	1488
524	1445
525	1405
526	1433
527	1427
528	1526
529	1392
530	1404
531	1399
532	1287
533	1332
534	1370
535	1310
536	1322
537	1259
538	1323
539	1297
540	1304
541	1329
542	1237
543	1295
544	1212
545	1240
546	1193
547	1182
548	1220
549	1203
550	1203
551	1182
552	1231
553	1226
554	1154
555	1229
556	1111
557	1160
558	1098
559	1155
560	1125
561	1114
562	1110
563	1030
564	1101
565	1095
566	1111
567	992
568	1090
569	1045
570	1042
571	1016
572	1025
573	1059
574	1002
575	1034
576	978
577	991
578	952
579	995
580	925
581	944
582	963
583	938
584	931
585	916
586	929
587	932
588	911
589	906
590	895
591	958
592	892
593	847
594	859
595	864
596	863
597	830
598	825
599	875
600	826
601	792
602	806
603	778
604	769
605	807
606	820
607	797
608	766
609	809
610	742
611	770
612	709
613	734
614	731
615	724
616	700
617	742
618	747
619	652
620	684
621	687
622	699
623	678
624	686
625	684
626	674
627	628
628	678
629	653
630	602
631	649
632	631
633	646
634	614
635	609
636	583
637	616
638	617
639	603
640	555
641	556
642	541
643	579
644	599
645	563
646	543
647	553
648	535
649	510
650	520
651	536
652	536
653	483
654	516
655	556
656	528
657	493
658	499
659	475
660	480
661	464
662	484
663	467
664	483
665	437
666	468
667	489
668	473
669	473
670	467
671	460
672	417
673	359
674	425
675	419
676	389
677	448
678	458
679	426
680	421
681	400
682	389
683	429
684	413
685	396
686	355
687	378
688	388
689	406
690	366
691	393
692	364
693	379
694	421
695	381
696	359
697	366
698	318
699	322
700	341
701	325
702	350
703	334
704	312
705	315
706	300
