#Length	Count
150	13959
151	14710
152	15934
153	14880
154	15473
155	15892
156	16296
157	15370
158	15781
159	16448
160	17370
161	16214
162	17068
163	17066
164	18029
165	18111
166	17728
167	19857
168	19342
169	18986
170	19065
171	19149
172	20557
173	19172
174	19260
175	20035
176	21130
177	19978
178	20708
179	22035
180	22221
181	22237
182	21184
183	22440
184	23593
185	22842
186	24431
187	24096
188	26410
189	24894
190	24654
191	28451
192	30642
193	26683
194	27130
195	24566
196	27373
197	26088
198	23563
199	24016
200	24417
201	26349
202	25245
203	26536
204	26469
205	27987
206	25309
207	25980
208	26395
209	26804
210	27322
211	26538
212	27731
213	27981
214	28874
215	26356
216	22978
217	26196
218	26835
219	22617
220	23859
221	21946
222	21603
223	22912
224	22344
225	22501
226	21886
227	22827
228	24712
229	23347
230	22903
231	21599
232	19507
233	20594
234	23715
235	21180
236	23419
237	17838
238	18248
239	20218
240	21883
241	20855
242	20194
243	19965
244	21081
245	20604
246	19964
247	19470
248	20121
249	19513
250	18533
251	18345
252	18905
253	19241
254	19062
255	19702
256	20253
257	20475
258	18760
259	20305
260	20638
261	20686
262	20242
263	20308
264	21956
265	21940
266	22556
267	22096
268	21389
269	21149
270	20081
271	20617
272	21063
273	22033
274	22409
275	20833
276	21052
277	21544
278	20821
279	22503
280	21728
281	20924
282	21632
283	24023
284	22178
285	21137
286	21861
287	23345
288	21877
289	26223
290	21930
291	24158
292	21644
293	22847
294	21853
295	20433
296	21818
297	22411
298	24960
299	27704
300	131020
301	160675
