#Mean	368.204
#Median	344
#Mode	297
#STDev	134.252
#PercentOfPairs	99.997
#InsertSize	Count
1	1
3	1
4	1
5	1
6	1
7	2
10	1
13	1
15	1
16	1
17	3
18	2
21	1
22	1
23	1
24	2
28	2
29	2
30	2
31	1
34	1
37	1
39	1
41	2
42	1
43	3
44	1
45	1
47	1
48	1
51	1
52	2
53	1
55	1
57	1
58	1
60	2
61	3
64	4
65	4
66	2
67	1
68	1
70	3
71	3
72	1
74	1
76	3
77	1
79	1
80	2
83	3
84	1
85	4
86	1
87	4
88	2
89	2
90	3
91	3
92	2
93	2
94	2
95	2
96	2
97	3
98	1
99	1
100	2
101	1
102	4
103	2
104	2
105	4
106	4
107	3
108	5
109	3
110	4
111	2
112	3
113	2
114	7
115	2
116	5
117	2
118	4
119	1
120	5
121	4
122	5
123	6
124	5
125	4
126	3
127	7
128	5
129	5
130	6
131	4
132	6
133	8
134	6
135	4
136	8
137	4
138	8
139	10
140	6
141	5
142	5
143	13
144	11
145	8
146	9
147	14
148	17
149	23
150	2236
151	2501
152	2616
153	2696
154	2698
155	2770
156	2990
157	2971
158	3150
159	3242
160	3302
161	3345
162	3426
163	3499
164	3690
165	3724
166	3810
167	3902
168	4103
169	4064
170	4160
171	4123
172	4400
173	4456
174	4338
175	4615
176	4640
177	4754
178	4860
179	4729
180	5038
181	5079
182	5203
183	5204
184	5352
185	5604
186	5558
187	5530
188	5820
189	5897
190	6061
191	6015
192	6029
193	6113
194	6391
195	6274
196	6425
197	6611
198	6799
199	6815
200	6826
201	6932
202	7015
203	7214
204	6994
205	7268
206	7310
207	7623
208	7576
209	7565
210	7814
211	7921
212	7985
213	8058
214	8086
215	8178
216	8327
217	8386
218	8448
219	8679
220	8650
221	8841
222	8802
223	8872
224	9103
225	9166
226	9218
227	9305
228	9460
229	9386
230	9486
231	9594
232	9899
233	9786
234	9867
235	9976
236	9826
237	10119
238	9913
239	10360
240	10370
241	10435
242	10504
243	10641
244	10401
245	10443
246	10726
247	10642
248	10790
249	11018
250	11021
251	11059
252	11291
253	11150
254	11179
255	11100
256	11209
257	11416
258	11502
259	11526
260	11788
261	11580
262	11786
263	11750
264	11689
265	11624
266	11707
267	11813
268	11889
269	11916
270	12025
271	11876
272	11890
273	12039
274	12209
275	12160
276	12226
277	12120
278	12274
279	12066
280	12022
281	12176
282	12219
283	12133
284	12133
285	12184
286	12232
287	12153
288	12389
289	12275
290	12259
291	12184
292	12128
293	12105
294	12212
295	12414
296	12362
297	12502
298	12465
299	12428
300	12433
301	12389
302	12418
303	12260
304	12255
305	12212
306	12387
307	12316
308	12496
309	12241
310	12260
311	12070
312	12229
313	12310
314	12023
315	12098
316	12048
317	12108
318	12043
319	12145
320	11948
321	12152
322	11985
323	11941
324	11752
325	11624
326	11610
327	11637
328	11596
329	11823
330	11602
331	11668
332	11559
333	11476
334	11817
335	11584
336	11486
337	11350
338	11292
