#Length	Count
150	39307
151	39697
152	41185
153	44279
154	42395
155	44798
156	45824
157	44704
158	44197
159	47726
160	46328
161	50015
162	45879
163	46579
164	46794
165	47520
166	48268
167	48552
168	47987
169	50193
170	49117
171	51821
172	53125
173	54478
174	52309
175	53463
176	54738
177	58805
178	57326
179	57148
180	55437
181	60982
182	56769
183	58282
184	59786
185	61702
186	60486
187	59587
188	60622
189	61289
190	62779
191	64719
192	61903
193	64164
194	63756
195	68065
196	65145
197	65840
198	65547
199	68117
200	64196
201	69332
202	71265
203	68258
204	67100
205	69964
206	72680
207	69173
208	70530
209	71444
210	70181
211	70589
212	68715
213	72845
214	71391
215	69336
216	70968
217	73155
218	72158
219	71603
220	70033
221	69440
222	69145
223	70506
224	71713
225	71729
226	76450
227	70883
228	73020
229	74451
230	71958
231	70564
232	71593
233	71018
234	69050
235	66410
236	66782
237	69263
238	68923
239	66638
240	64329
241	64848
242	65454
243	67688
244	66880
245	70503
246	69513
247	69382
248	64524
249	65925
250	65122
251	63938
252	61684
253	61793
254	60094
255	57108
256	57319
257	59226
258	58360
259	58826
260	55683
261	55617
262	58335
263	56669
264	54390
265	56291
266	53510
267	52068
268	53858
269	51417
270	50139
271	50841
272	48897
273	50810
274	51854
275	50962
276	47842
277	46997
278	45904
279	48155
280	44958
281	41533
282	43164
283	45884
284	40198
285	35996
286	37566
287	42228
288	38035
289	34988
290	35572
291	36088
292	31835
293	29762
294	28081
295	29776
296	26814
297	27577
298	39051
299	43796
300	135751
301	95098
